x,y,z, ,vx,vy,vz
0,0,0, ,10,10,0
0.083,0.0823242,0, ,10,9.91858,0
0.166,0.163973,0, ,10,9.83715,0
0.249,0.244945,0, ,10,9.75573,0
0.332,0.325242,0, ,10,9.67431,0
0.415,0.404863,0, ,10,9.59289,0
0.498,0.483808,0, ,10,9.51146,0
0.581,0.562077,0, ,10,9.43004,0
0.664,0.639671,0, ,10,9.34862,0
0.747,0.716588,0, ,10,9.26719,0
0.83,0.79283,0, ,10,9.18577,0
0.913,0.868397,0, ,10,9.10435,0
0.996,0.943287,0, ,10,9.02293,0
1.079,1.0175,0, ,10,8.9415,0
1.162,1.09104,0, ,10,8.86008,0
1.245,1.1639,0, ,10,8.77866,0
1.328,1.23609,0, ,10,8.69724,0
1.411,1.3076,0, ,10,8.61581,0
1.494,1.37844,0, ,10,8.53439,0
1.577,1.4486,0, ,10,8.45297,0
1.66,1.51808,0, ,10,8.37154,0
1.743,1.58689,0, ,10,8.29012,0
1.826,1.65502,0, ,10,8.2087,0
1.909,1.72248,0, ,10,8.12728,0
1.992,1.78926,0, ,10,8.04585,0
2.075,1.85536,0, ,10,7.96443,0
2.158,1.92079,0, ,10,7.88301,0
2.241,1.98554,0, ,10,7.80158,0
2.324,2.04962,0, ,10,7.72016,0
2.407,2.11302,0, ,10,7.63874,0
2.49,2.17575,0, ,10,7.55732,0
2.573,2.2378,0, ,10,7.47589,0
2.656,2.29917,0, ,10,7.39447,0
2.739,2.35987,0, ,10,7.31305,0
2.822,2.41989,0, ,10,7.23162,0
2.905,2.47924,0, ,10,7.1502,0
2.988,2.53791,0, ,10,7.06878,0
3.071,2.59591,0, ,10,6.98736,0
3.154,2.65323,0, ,10,6.90593,0
3.237,2.70987,0, ,10,6.82451,0
3.32,2.76584,0, ,10,6.74309,0
3.403,2.82113,0, ,10,6.66166,0
3.486,2.87574,0, ,10,6.58024,0
3.569,2.92968,0, ,10,6.49882,0
3.652,2.98295,0, ,10,6.4174,0
3.735,3.03554,0, ,10,6.33597,0
3.818,3.08745,0, ,10,6.25455,0
3.901,3.13869,0, ,10,6.17313,0
3.984,3.18925,0, ,10,6.09171,0
4.067,3.23913,0, ,10,6.01028,0
4.15,3.28834,0, ,10,5.92886,0
4.233,3.33688,0, ,10,5.84744,0
4.316,3.38473,0, ,10,5.76601,0
4.399,3.43192,0, ,10,5.68459,0
4.482,3.47842,0, ,10,5.60317,0
4.565,3.52425,0, ,10,5.52175,0
4.648,3.56941,0, ,10,5.44032,0
4.731,3.61389,0, ,10,5.3589,0
4.814,3.65769,0, ,10,5.27748,0
4.897,3.70082,0, ,10,5.19605,0
4.98,3.74327,0, ,10,5.11463,0
5.063,3.78504,0, ,10,5.03321,0
5.146,3.82614,0, ,10,4.95179,0
5.229,3.86657,0, ,10,4.87036,0
5.312,3.90632,0, ,10,4.78894,0
5.395,3.94539,0, ,10,4.70752,0
5.478,3.98379,0, ,10,4.62609,0
5.561,4.02151,0, ,10,4.54467,0
5.644,4.05855,0, ,10,4.46325,0
5.727,4.09492,0, ,10,4.38183,0
5.81,4.13061,0, ,10,4.3004,0
5.893,4.16563,0, ,10,4.21898,0
5.976,4.19997,0, ,10,4.13756,0
6.059,4.23364,0, ,10,4.05614,0
6.142,4.26663,0, ,10,3.97471,0
6.225,4.29894,0, ,10,3.89329,0
6.308,4.33058,0, ,10,3.81187,0
6.391,4.36154,0, ,10,3.73044,0
6.474,4.39183,0, ,10,3.64902,0
6.557,4.42144,0, ,10,3.5676,0
6.64,4.45038,0, ,10,3.48617,0
6.723,4.47864,0, ,10,3.40475,0
6.806,4.50622,0, ,10,3.32333,0
6.889,4.53313,0, ,10,3.2419,0
6.972,4.55936,0, ,10,3.16048,0
7.055,4.58492,0, ,10,3.07906,0
7.138,4.6098,0, ,10,2.99764,0
7.221,4.634,0, ,10,2.91621,0
7.30401,4.65753,0, ,10,2.83479,0
7.38701,4.68038,0, ,10,2.75337,0
7.47001,4.70256,0, ,10,2.67194,0
7.55301,4.72406,0, ,10,2.59052,0
7.63601,4.74489,0, ,10,2.5091,0
7.71901,4.76504,0, ,10,2.42767,0
7.80201,4.78451,0, ,10,2.34625,0
7.88501,4.80331,0, ,10,2.26483,0
7.96801,4.82143,0, ,10,2.18341,0
8.05101,4.83888,0, ,10,2.10198,0
8.13401,4.85565,0, ,10,2.02056,0
8.21701,4.87174,0, ,10,1.93914,0
8.30001,4.88716,0, ,10,1.85771,0
8.38301,4.90191,0, ,10,1.77629,0
8.46601,4.91597,0, ,10,1.69487,0
8.54901,4.92936,0, ,10,1.61344,0
8.63201,4.94208,0, ,10,1.53202,0
8.71501,4.95412,0, ,10,1.4506,0
8.79801,4.96548,0, ,10,1.36917,0
8.88101,4.97617,0, ,10,1.28775,0
8.96401,4.98619,0, ,10,1.20633,0
9.04701,4.99552,0, ,10,1.12491,0
9.13001,5.00418,0, ,10,1.04348,0
9.21301,5.01217,0, ,10,0.96206,0
9.29601,5.01948,0, ,10,0.880637,0
9.37901,5.02611,0, ,10,0.799214,0
9.46201,5.03207,0, ,10,0.717791,0
9.54501,5.03735,0, ,10,0.636368,0
9.62801,5.04196,0, ,10,0.554945,0
9.71101,5.04589,0, ,10,0.473522,0
9.79401,5.04914,0, ,10,0.392099,0
9.87701,5.05172,0, ,10,0.310676,0
9.96001,5.05362,0, ,10,0.229253,0
10.043,5.05485,0, ,10,0.14783,0
10.126,5.0554,0, ,10,0.0664067,0
10.209,5.05528,0, ,10,-0.0150163,0
10.292,5.05448,0, ,10,-0.0964393,0
10.375,5.053,0, ,10,-0.177862,0
10.458,5.05085,0, ,10,-0.259285,0
10.541,5.04802,0, ,10,-0.340708,0
10.624,5.04452,0, ,10,-0.422131,0
10.707,5.04034,0, ,10,-0.503554,0
10.79,5.03548,0, ,10,-0.584977,0
10.873,5.02995,0, ,10,-0.6664,0
10.956,5.02374,0, ,10,-0.747823,0
11.039,5.01686,0, ,10,-0.829246,0
11.122,5.0093,0, ,10,-0.910669,0
11.205,5.00107,0, ,10,-0.992092,0
11.288,4.99216,0, ,10,-1.07352,0
11.371,4.98257,0, ,10,-1.15494,0
11.454,4.97231,0, ,10,-1.23636,0
11.537,4.96137,0, ,10,-1.31778,0
11.62,4.94976,0, ,10,-1.39921,0
11.703,4.93747,0, ,10,-1.48063,0
11.786,4.9245,0, ,10,-1.56205,0
11.869,4.91086,0, ,10,-1.64348,0
11.952,4.89655,0, ,10,-1.7249,0
12.035,4.88155,0, ,10,-1.80632,0
12.118,4.86589,0, ,10,-1.88775,0
12.201,4.84954,0, ,10,-1.96917,0
12.284,4.83252,0, ,10,-2.05059,0
12.367,4.81483,0, ,10,-2.13201,0
12.45,4.79645,0, ,10,-2.21344,0
12.533,4.77741,0, ,10,-2.29486,0
12.616,4.75768,0, ,10,-2.37628,0
12.699,4.73728,0, ,10,-2.45771,0
12.782,4.71621,0, ,10,-2.53913,0
12.865,4.69446,0, ,10,-2.62055,0
12.948,4.67203,0, ,10,-2.70198,0
13.031,4.64893,0, ,10,-2.7834,0
13.114,4.62515,0, ,10,-2.86482,0
13.197,4.6007,0, ,10,-2.94625,0
13.28,4.57557,0, ,10,-3.02767,0
13.363,4.54976,0, ,10,-3.10909,0
13.446,4.52328,0, ,10,-3.19051,0
13.529,4.49613,0, ,10,-3.27194,0
13.612,4.46829,0, ,10,-3.35336,0
13.695,4.43978,0, ,10,-3.43478,0
13.778,4.4106,0, ,10,-3.51621,0
13.861,4.38074,0, ,10,-3.59763,0
13.944,4.3502,0, ,10,-3.67905,0
14.027,4.31899,0, ,10,-3.76048,0
14.11,4.2871,0, ,10,-3.8419,0
14.193,4.25454,0, ,10,-3.92332,0
14.276,4.2213,0, ,10,-4.00474,0
14.359,4.18739,0, ,10,-4.08617,0
14.442,4.15279,0, ,10,-4.16759,0
14.525,4.11753,0, ,10,-4.24901,0
14.608,4.08158,0, ,10,-4.33044,0
14.691,4.04497,0, ,10,-4.41186,0
14.774,4.00767,0, ,10,-4.49328,0
14.857,3.9697,0, ,10,-4.5747,0
14.94,3.93106,0, ,10,-4.65613,0
15.023,3.89173,0, ,10,-4.73755,0
15.106,3.85174,0, ,10,-4.81897,0
15.189,3.81106,0, ,10,-4.9004,0
15.272,3.76971,0, ,10,-4.98182,0
15.355,3.72769,0, ,10,-5.06324,0
15.438,3.68499,0, ,10,-5.14466,0
15.521,3.64161,0, ,10,-5.22609,0
15.604,3.59756,0, ,10,-5.30751,0
15.687,3.55283,0, ,10,-5.38893,0
15.77,3.50743,0, ,10,-5.47036,0
15.853,3.46135,0, ,10,-5.55178,0
15.936,3.41459,0, ,10,-5.6332,0
16.019,3.36716,0, ,10,-5.71462,0
16.102,3.31905,0, ,10,-5.79605,0
16.185,3.27027,0, ,10,-5.87747,0
16.268,3.22081,0, ,10,-5.95889,0
16.351,3.17068,0, ,10,-6.04031,0
16.434,3.11987,0, ,10,-6.12174,0
16.517,3.06838,0, ,10,-6.20316,0
16.6,3.01622,0, ,10,-6.28458,0
16.683,2.96338,0, ,10,-6.36601,0
16.766,2.90987,0, ,10,-6.44743,0
16.849,2.85568,0, ,10,-6.52885,0
16.932,2.80081,0, ,10,-6.61027,0
17.015,2.74527,0, ,10,-6.6917,0
17.098,2.68905,0, ,10,-6.77312,0
17.181,2.63216,0, ,10,-6.85454,0
17.264,2.57459,0, ,10,-6.93597,0
17.347,2.51635,0, ,10,-7.01739,0
17.43,2.45743,0, ,10,-7.09881,0
17.513,2.39783,0, ,10,-7.18023,0
17.596,2.33756,0, ,10,-7.26166,0
17.679,2.27661,0, ,10,-7.34308,0
17.762,2.21499,0, ,10,-7.4245,0
17.845,2.15269,0, ,10,-7.50593,0
17.928,2.08972,0, ,10,-7.58735,0
18.011,2.02607,0, ,10,-7.66877,0
18.094,1.96174,0, ,10,-7.75019,0
18.177,1.89674,0, ,10,-7.83162,0
18.26,1.83106,0, ,10,-7.91304,0
18.343,1.7647,0, ,10,-7.99446,0
18.426,1.69767,0, ,10,-8.07588,0
18.509,1.62997,0, ,10,-8.15731,0
18.592,1.56159,0, ,10,-8.23873,0
18.675,1.49253,0, ,10,-8.32015,0
18.758,1.4228,0, ,10,-8.40158,0
18.841,1.35239,0, ,10,-8.483,0
18.924,1.2813,0, ,10,-8.56442,0
19.007,1.20954,0, ,10,-8.64584,0
19.09,1.13711,0, ,10,-8.72727,0
19.173,1.06399,0, ,10,-8.80869,0
19.256,0.990206,0, ,10,-8.89011,0
19.339,0.915742,0, ,10,-8.97154,0
19.422,0.840603,0, ,10,-9.05296,0
19.505,0.764787,0, ,10,-9.13438,0
19.588,0.688296,0, ,10,-9.2158,0
19.671,0.611129,0, ,10,-9.29723,0
19.754,0.533286,0, ,10,-9.37865,0
19.837,0.454768,0, ,10,-9.46007,0
19.92,0.375573,0, ,10,-9.5415,0
20.003,0.295703,0, ,10,-9.62292,0
20.086,0.215157,0, ,10,-9.70434,0
20.169,0.133935,0, ,10,-9.78576,0
20.252,0.0520376,0, ,10,-9.86719,0
